task,stage,attack_acc,cv_acc,auc
19,pre,0.692,0.272,0.7571
19,post,0.508,0.1,0.5594
18,pre,0.606,0.204,0.6325
18,post,0.538,0.098,0.55
17,pre,0.576,0.228,0.6025
17,post,0.524,0.106,0.5274
16,pre,0.544,0.114,0.5401
16,post,0.522,0.128,0.523
15,pre,0.558,0.146,0.5687
15,post,0.524,0.104,0.5293
14,pre,0.576,0.122,0.6133
14,post,0.458,0.094,0.4502
13,pre,0.532,0.136,0.549
13,post,0.52,0.116,0.5102
12,pre,0.544,0.124,0.5719
12,post,0.528,0.084,0.5275
11,pre,0.516,0.072,0.476
11,post,0.522,0.084,0.5477
10,pre,0.502,0.124,0.5303
10,post,0.502,0.118,0.5189
9,pre,0.546,0.116,0.5962
9,post,0.524,0.09,0.5389
8,pre,0.534,0.108,0.5561
8,post,0.492,0.12,0.5013
7,pre,0.536,0.148,0.5433
7,post,0.516,0.124,0.5081
6,pre,0.488,0.114,0.5016
6,post,0.482,0.086,0.4713
5,pre,0.512,0.132,0.4966
5,post,0.516,0.094,0.5371
4,pre,0.508,0.098,0.5199
4,post,0.47,0.094,0.4876
3,pre,0.506,0.108,0.5002
3,post,0.488,0.114,0.4848
2,pre,0.554,0.132,0.5378
2,post,0.518,0.108,0.5278
1,pre,0.47,0.096,0.4653
1,post,0.554,0.1,0.5591
