0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
[0.6408],[0.6316],[0.5436],[0.5472],[0.6224],[0.62],[0.5924],[0.6608],[0.6296],[0.584],[0.5796],[0.7028],[0.6908],[0.624],[0.6396],[0.6164],[0.6896],[0.7016],[0.6832],[0.6548],[0.6612],[0.66],[0.642],[0.6496],[0.6508],[0.6544]
[0.6844],[0.5044],[0.6472],[0.5448],[0.632],[0.7052],[0.5884],[0.6312],[0.5604],[0.702],[0.6536],[0.746],[0.6996],[0.7008],[0.6852],[0.7036],[0.7344],[0.712],[0.7048],[0.7056],[0.7172],[0.7152],[0.6984],[0.6952],[0.7072],[0.696]
