0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.65,0.552,0.568,0.702,0.554,0.73,0.704,0.714,0.288,0.42,0.484,0.242,0.264,0.394,0.192,0.19,0.208,0.336,0.204,0.182
0.632,0.556,0.518,0.68,0.506,0.71,0.664,0.216,0.268,0.404,0.438,0.258,0.14,0.326,0.192,0.176,0.258,0.234,0.246,0.174
0.644,0.504,0.534,0.664,0.532,0.746,0.262,0.238,0.278,0.294,0.426,0.272,0.13,0.218,0.16,0.2,0.28,0.2,0.214,0.186
0.66,0.602,0.586,0.72,0.592,0.77,0.546,0.386,0.352,0.504,0.504,0.674,0.252,0.286,0.162,0.192,0.246,0.244,0.26,0.182
0.668,0.62,0.57,0.714,0.576,0.762,0.574,0.464,0.37,0.602,0.558,0.656,0.738,0.308,0.168,0.19,0.236,0.286,0.244,0.2
0.652,0.596,0.546,0.756,0.57,0.752,0.602,0.512,0.398,0.656,0.502,0.652,0.71,0.722,0.146,0.206,0.258,0.296,0.252,0.196
0.636,0.586,0.54,0.674,0.574,0.75,0.636,0.516,0.414,0.61,0.556,0.668,0.706,0.676,0.7,0.192,0.23,0.296,0.258,0.218
0.658,0.578,0.532,0.708,0.57,0.72,0.654,0.592,0.424,0.612,0.522,0.644,0.656,0.67,0.694,0.57,0.238,0.322,0.256,0.206
0.66,0.604,0.558,0.682,0.588,0.746,0.818,0.652,0.458,0.666,0.552,0.66,0.66,0.644,0.684,0.516,0.23,0.328,0.248,0.194
0.648,0.604,0.562,0.702,0.604,0.722,0.798,0.8,0.51,0.728,0.544,0.646,0.656,0.618,0.682,0.516,0.242,0.336,0.228,0.168
0.654,0.594,0.558,0.692,0.6,0.72,0.804,0.786,0.654,0.742,0.534,0.612,0.636,0.602,0.642,0.5,0.244,0.308,0.228,0.172
0.658,0.596,0.552,0.724,0.58,0.738,0.796,0.778,0.652,0.87,0.582,0.64,0.678,0.642,0.652,0.472,0.228,0.296,0.226,0.194
0.636,0.602,0.548,0.65,0.582,0.718,0.812,0.758,0.624,0.854,0.758,0.634,0.664,0.594,0.658,0.474,0.226,0.304,0.236,0.18
