iter,clu,keep,forget,bonus
0,1.0,1.0,1.0,0.0
1,0.9933333333333334,0.9933333333333334,1.0,0.0
2,0.9964888888888889,0.9964888888888889,1.0,0.0010666666666666602
3,0.9722,0.9722,1.0,0.0024000000000000132
4,0.9722133333333333,0.9722133333333333,1.0,0.004026666666666667
5,0.9593111111111111,0.9593111111111111,1.0,0.0
6,0.9462285714285714,0.9462285714285714,1.0,0.0
7,0.9407,0.9407,1.0,0.0
8,0.9256740740740741,0.9256740740740741,1.0,0.00032592592592592704
9,0.9327066666666667,0.9327066666666667,1.0,0.0003199999999999981
10,0.9399636363636363,0.9399636363636363,1.0,0.0009818181818181846
11,0.9276333333333333,0.9276333333333333,1.0,0.002044444444444441
12,0.9142153846153847,0.9142153846153847,1.0,0.0011282051282051236
13,0.9064571428571429,0.9064571428571429,1.0,0.001352380952380954
14,0.9016444444444445,0.9016444444444445,1.0,0.0029066666666666646
15,0.8944166666666666,0.8944166666666666,1.0,0.0021583333333333315
16,0.902878431372549,0.902878431372549,1.0,0.002933333333333337
17,0.8992666666666667,0.8992666666666667,1.0,0.002429629629629627
18,0.8891789473684211,0.8891789473684211,1.0,0.00162105263157895
19,0.8915933333333333,0.8915933333333333,1.0,0.0018199999999999994
20,0.8671133333333333,0.8671133333333333,1.0,0.01723333333333334
21,0.6922921730994152,0.8579298245614035,0.8069333333333333,0.017873684210526316
22,0.6888675595061727,0.8491259259259258,0.8112666666666666,0.018644444444444446
23,0.7110152219607843,0.8473882352941176,0.8390666666666667,0.01979607843137255
