iter,clu,keep,forget,bonus
0,1.0,1.0,1.0,0.0
1,0.9286,0.9286,1.0,0.0
2,0.8308,0.8308,1.0,0.0
3,0.8350666666666666,0.8350666666666666,1.0,0.0
4,0.826,0.826,1.0,0.0
5,0.7888,0.7888,1.0,0.0
6,0.850247619047619,0.850247619047619,1.0,0.0
7,0.7999,0.7999,1.0,0.0
8,0.8066666666666666,0.8066666666666666,1.0,0.0
9,0.8237466666666666,0.8237466666666666,1.0,0.0
10,0.8181575757575758,0.8181575757575758,1.0,0.0
11,0.8230222222222222,0.8230222222222222,1.0,0.0
12,0.8064410256410257,0.8064410256410257,1.0,0.0
13,0.7911904761904762,0.7911904761904762,1.0,0.0
14,0.8083733333333334,0.8083733333333334,1.0,0.0
15,0.7903333333333333,0.7903333333333333,1.0,0.0
16,0.8034666666666667,0.8034666666666667,1.0,0.0
17,0.8080444444444445,0.8080444444444445,1.0,0.0
18,0.7979368421052632,0.7979368421052632,1.0,0.0
19,0.7859333333333333,0.7859333333333333,1.0,0.0
20,0.7354333333333334,0.7354333333333334,1.0,0.01283999999999999
21,0.6775720701754385,0.731719298245614,0.9259999999999999,0.013950877192982457
22,0.6834013688888889,0.7404666666666666,0.9229333333333334,0.014822222222222224
23,0.6871030961220043,0.741513725490196,0.9266222222222222,0.01563921568627451
