iter,clu,keep,forget,bonus
0,1.0,1.0,1.0,0.0
1,0.9607333333333333,0.9607333333333333,1.0,0.0
2,0.985688888888889,0.985688888888889,1.0,0.0
3,0.9635333333333334,0.9635333333333334,1.0,0.0011333333333333473
4,0.9793866666666667,0.9793866666666667,1.0,0.0
5,0.9433333333333334,0.9433333333333334,1.0,0.0
6,0.9316,0.9316,1.0,0.0
7,0.9302166666666667,0.9302166666666667,1.0,0.0
8,0.935362962962963,0.935362962962963,1.0,0.0035111111111111194
9,0.9237866666666666,0.9237866666666666,1.0,0.0
10,0.8264461432098765,0.8599259259259259,0.9610666666666667,0.0
11,0.6346082133333334,0.6699833333333334,0.9472,0.0
12,0.6031100952380952,0.6230476190476191,0.968,0.0
13,0.6099650718518519,0.6357555555555556,0.9594333333333334,0.0
14,0.6150445781333334,0.6459466666666667,0.95216,0.0
15,0.8002407371851852,0.9009555555555555,0.8882133333333334,0.0
16,0.7953449935238095,0.9170285714285714,0.8673066666666667,0.00756190476190477
17,0.7942390222222223,0.9233333333333333,0.8601866666666668,0.004766666666666655
18,0.7959912592592593,0.932074074074074,0.8540000000000001,0.0041333333333333465
19,0.8033981472,0.93852,0.8560266666666667,0.001093333333333335
20,0.8004834666666667,0.9388,0.8526666666666667,0.00021818181818182442
21,0.8033842453333334,0.9404666666666667,0.8542400000000001,0.001688888888888888
22,0.8028531591111112,0.9372410256410256,0.8566133333333334,0.0011794871794871776
23,0.8098629973333334,0.9366476190476191,0.8646400000000001,0.0
24,0.8048016768,0.93512,0.8606400000000001,0.0
25,0.787249225,0.928725,0.8476666666666667,0.004491666666666665
26,0.8467365099782136,0.9316627450980393,0.9088444444444445,0.004658823529411774
27,0.8736734222222223,0.9304296296296297,0.9390000000000001,0.0067481481481481325
28,0.842733174269006,0.8555087719298246,0.9850666666666668,0.0
29,0.87716,0.87716,1.0,0.0
