iter,clu,keep,forget,bonus
0,1.0,1.0,1.0,0.0
1,0.9903333333333333,0.9903333333333333,1.0,0.0
2,0.9530222222222222,0.9530222222222222,1.0,0.0
3,0.9873333333333333,0.9873333333333333,1.0,0.004299999999999998
4,0.9768266666666667,0.9768266666666667,1.0,0.0
5,0.9547777777777777,0.9547777777777777,1.0,0.0
6,0.9450857142857143,0.9450857142857143,1.0,0.0
7,0.9345833333333333,0.9345833333333333,1.0,0.0
8,0.9200592592592592,0.9200592592592592,1.0,0.0
9,0.91528,0.91528,1.0,0.0
10,0.9156848484848484,0.9156848484848484,1.0,0.0
11,0.9175888888888889,0.9175888888888889,1.0,0.0
12,0.9057846153846154,0.9057846153846154,1.0,0.0
13,0.8981904761904762,0.8981904761904762,1.0,0.0
14,0.8865955555555556,0.8865955555555556,1.0,0.0
15,0.888825,0.888825,1.0,0.0
16,0.8877333333333334,0.8877333333333334,1.0,0.0
17,0.8812222222222222,0.8812222222222222,1.0,0.0
18,0.882778947368421,0.882778947368421,1.0,0.0
19,0.87748,0.87748,1.0,0.00039333333333332887
20,0.7665756229239766,0.8503649122807018,0.9014666666666666,0.0
21,0.7695514325925926,0.8451037037037037,0.9106000000000001,0.0
22,0.7719165741176471,0.8310901960784314,0.9288000000000001,0.0
23,0.7721770147222222,0.8060583333333333,0.9579666666666667,0.0
24,0.7653395043555555,0.8005866666666667,0.9559733333333333,0.0
25,0.7675295492063493,0.7972952380952381,0.9626666666666668,0.0
26,0.7329692196336997,0.7741230769230769,0.9468380952380953,0.0
27,0.7389468277777778,0.7832666666666667,0.9434166666666667,0.0
28,0.6680340654545455,0.7011272727272727,0.9528000000000001,0.0
29,0.7350095052444444,0.7742266666666666,0.9493466666666667,0.0
30,0.7784715219753087,0.8200296296296297,0.9493212121212121,0.0
31,0.7826953816666666,0.82785,0.9454555555555556,0.0
32,0.7786205765079365,0.8252761904761905,0.9434666666666667,0.0
33,0.8207096279365078,0.8597333333333332,0.9546095238095238,0.0
34,0.7907848087703704,0.8267733333333334,0.9564711111111112,0.0
35,0.8297342600000001,0.8637666666666667,0.9606,0.0
36,0.8380296965577342,0.8749777777777777,0.9577725490196078,0.0
37,0.8330571555555555,0.8674666666666666,0.9603333333333334,0.0
38,0.8588511457309941,0.8941333333333332,0.960540350877193,0.0
