iter,clu,keep,forget,bonus
0,1.0,1.0,1.0,0.0
1,0.9388,0.9388,1.0,0.0
2,0.8884888888888889,0.8884888888888889,1.0,0.0
3,0.8572666666666666,0.8572666666666666,1.0,0.0
4,0.8196266666666667,0.8196266666666667,1.0,0.0
5,0.8217111111111111,0.8217111111111111,1.0,0.0
6,0.8307047619047618,0.8307047619047618,1.0,0.0
7,0.8248,0.8248,1.0,0.0
8,0.7936444444444445,0.7936444444444445,1.0,0.0
9,0.7892666666666667,0.7892666666666667,1.0,0.0
10,0.70043808,0.7570666666666667,0.9252,0.0
11,0.6468742000000001,0.7344166666666667,0.8808,0.0
12,0.61572832,0.7257523809523809,0.8484,0.0
13,0.6313616407407407,0.7312222222222222,0.8634333333333334,0.0
14,0.6462591296,0.74024,0.87304,0.0
15,0.7074998162962963,0.8271111111111111,0.8553866666666667,0.0
16,0.723023233015873,0.8416380952380953,0.8590666666666666,0.0
17,0.7361452942222222,0.8592333333333333,0.8567466666666667,0.0
18,0.7420747275061729,0.8640296296296296,0.8588533333333334,0.0
19,0.7454282702222222,0.8715333333333333,0.8553066666666668,0.0
20,0.754777216,0.8724000000000001,0.8651733333333333,0.0
21,0.7555865392592592,0.8735777777777778,0.8649333333333333,0.0
22,0.7760444028717949,0.8775076923076923,0.8843733333333333,0.0
23,0.7674589147936508,0.8725619047619048,0.8795466666666667,0.0
24,0.7712778728296297,0.8700977777777777,0.8864266666666667,0.0
25,0.77880517,0.8734916666666667,0.8916000000000001,0.004008333333333336
26,0.7820406982135076,0.8758980392156863,0.8928444444444444,0.0015529411764706
27,0.8014134992592593,0.8818370370370371,0.9088,0.0033481481481481556
28,0.8604528748538012,0.8784912280701754,0.9794666666666667,0.004385964912280709
29,0.87346,0.87346,1.0,0.0036999999999999924
