0,1,2,3,4,5,6,7,8,9,10
[0.21069473684210527],[0.22726315789473683],[0.2364],[0.29686315789473683],[0.30953684210526317],[0.37334736842105265],[0.3239578947368421],[0.30602105263157897],[0.2794736842105263],[0.2656],[0.2264]
[0.2032421052631579],[0.2336],[0.2435157894736842],[0.2868842105263158],[0.30886315789473684],[0.30882105263157894],[0.31625263157894734],[0.26326315789473687],[0.2543578947368421],[0.22945263157894738],[0.22362105263157894]
[0.1850736842105263],[0.2279578947368421],[0.25873684210526315],[0.24713684210526315],[0.3002947368421053],[0.33046315789473685],[0.29389473684210526],[0.2829473684210526],[0.26665263157894736],[0.25705263157894737],[0.20978947368421053]
