0,1,2,3,4,5,6,7,8,9,10
[0.21498947368421054],[0.23269473684210526],[0.2503157894736842],[0.2881263157894737],[0.31993684210526313],[0.3578736842105263],[0.2521052631578947],[0.21909473684210526],[0.2074736842105263],[0.20962105263157896],[0.20976842105263158]
[0.19762105263157895],[0.22602105263157896],[0.23913684210526315],[0.27776842105263155],[0.3112421052631579],[0.32865263157894736],[0.22926315789473684],[0.22865263157894736],[0.22016842105263157],[0.2128],[0.21368421052631578]
[0.2012842105263158],[0.23008421052631578],[0.2558105263157895],[0.28623157894736845],[0.28313684210526313],[0.34212631578947367],[0.2336421052631579],[0.22117894736842106],[0.2230736842105263],[0.22218947368421052],[0.22101052631578946]
