0,1,2,3,4,5,6,7,8,9,10
[0.21663157894736843],[0.22936842105263158],[0.24294736842105263],[0.2789473684210526],[0.30336842105263156],[0.33410526315789474],[0.24663157894736842],[0.21463157894736842],[0.20621052631578948],[0.2073684210526316],[0.20663157894736842]
[0.2005263157894737],[0.22526315789473683],[0.2356842105263158],[0.265578947368421],[0.29442105263157897],[0.3061052631578947],[0.22189473684210526],[0.22547368421052633],[0.21757894736842107],[0.21094736842105263],[0.21242105263157895]
[0.202],[0.22715789473684211],[0.24536842105263157],[0.2772631578947368],[0.2711578947368421],[0.3317894736842105],[0.22747368421052633],[0.21989473684210525],[0.22642105263157894],[0.22389473684210526],[0.22357894736842104]
