0,1,2,3,4,5,6,7,8,9,10
[0.6552],[0.6256],[0.5244],[0.6532],[0.6748],[0.63],[0.3704],[0.3052],[0.3336],[0.34],[0.3444]
[0.5416],[0.5068],[0.5692],[0.6464],[0.5748],[0.5824],[0.3164],[0.3828],[0.298],[0.2616],[0.2524]
[0.6724],[0.6084],[0.5584],[0.474],[0.5168],[0.6168],[0.4308],[0.3588],[0.3444],[0.3464],[0.3544]
