task,iter,attack_acc,cv_acc,auc
8,11,0.554,0.146,0.5865
8,12,0.532,0.166,0.5767
8,13,0.534,0.102,0.5616
8,14,0.552,0.118,0.5621
8,15,0.498,0.102,0.5153
8,16,0.494,0.114,0.5192
8,17,0.556,0.1,0.5628
8,18,0.556,0.096,0.5743
8,19,0.534,0.112,0.5289
8,20,0.492,0.096,0.4528
8,11,0.514,0.108,0.5345
8,12,0.488,0.132,0.5067
8,13,0.49,0.106,0.4604
8,14,0.558,0.102,0.579
8,15,0.462,0.106,0.4488
8,16,0.526,0.098,0.5215
8,17,0.536,0.102,0.4892
8,18,0.52,0.092,0.5141
8,19,0.504,0.108,0.5045
8,20,0.494,0.102,0.5104
