task,iter,attack_acc,cv_acc,auc
5,11,0.7812,0.8333,0.9072
5,12,0.7969,0.7167,0.9131
5,13,0.7344,0.2833,0.8394
5,14,0.75,0.7667,0.8379
5,15,0.7031,0.7167,0.8833
5,16,0.7031,0.5333,0.7671
5,17,0.5469,0.5833,0.6094
5,18,0.6562,0.25,0.7324
5,19,0.6094,0.5667,0.5928
5,20,0.625,0.3667,0.7207
5,11,0.75,0.3167,0.8838
5,12,0.7812,0.2333,0.9297
5,13,0.7188,0.7333,0.8682
5,14,0.7969,0.3,0.9028
5,15,0.75,0.7,0.8223
5,16,0.8281,0.7333,0.8394
5,17,0.75,0.3833,0.7861
5,18,0.5781,0.6667,0.666
5,19,0.5938,0.2833,0.6729
5,20,0.7031,0.5333,0.7891
