task,iter,attack_acc,cv_acc,auc
8,11,0.594,0.158,0.6355
8,12,0.588,0.12,0.6269
8,13,0.57,0.098,0.5737
8,14,0.538,0.17,0.5377
8,15,0.56,0.144,0.5665
8,16,0.558,0.108,0.5496
8,17,0.5,0.096,0.5043
8,18,0.54,0.114,0.5436
8,19,0.542,0.104,0.5406
8,20,0.532,0.102,0.5462
8,11,0.534,0.16,0.5492
8,12,0.572,0.152,0.634
8,13,0.574,0.14,0.5897
8,14,0.532,0.162,0.5508
8,15,0.566,0.106,0.5823
8,16,0.542,0.142,0.5511
8,17,0.54,0.13,0.5611
8,18,0.548,0.118,0.5503
8,19,0.534,0.148,0.5533
8,20,0.52,0.118,0.5207
