task,iter,attack_acc,cv_acc,auc
7,11,0.6211,0.2353,0.6571
7,12,0.6602,0.5608,0.7103
7,13,0.6836,0.3608,0.7537
7,14,0.4375,0.1137,0.4658
7,15,0.4883,0.1059,0.5244
7,16,0.4922,0.0941,0.4914
7,17,0.5117,0.1059,0.4554
7,18,0.4688,0.1176,0.5166
7,19,0.5117,0.0941,0.5274
7,20,0.4531,0.098,0.4587
7,11,0.7578,0.7098,0.7538
7,12,0.6992,0.6941,0.7421
7,13,0.7578,0.6902,0.7906
7,14,0.4883,0.0941,0.5548
7,15,0.4883,0.1176,0.4481
7,16,0.5273,0.102,0.5706
7,17,0.5039,0.1176,0.5293
7,18,0.582,0.1255,0.5855
7,19,0.5547,0.0941,0.5598
7,20,0.582,0.102,0.5934
