task,iter,attack_acc,cv_acc,auc
3,11,0.75,0.7333,0.8181
3,12,0.7148,0.702,0.7697
3,13,0.7617,0.7098,0.8481
3,14,0.7695,0.6706,0.8087
3,15,0.7891,0.8118,0.856
3,16,0.793,0.8235,0.884
3,17,0.8164,0.7882,0.8934
3,18,0.5898,0.2902,0.6219
3,19,0.5859,0.1608,0.6238
3,20,0.5352,0.2,0.5496
3,11,0.75,0.7373,0.7952
3,12,0.7422,0.698,0.8122
3,13,0.75,0.7412,0.7567
3,14,0.7812,0.7647,0.8148
3,15,0.7578,0.7412,0.8279
3,16,0.8125,0.7412,0.8577
3,17,0.7227,0.7412,0.7481
3,18,0.5117,0.1098,0.5247
3,19,0.543,0.0941,0.5863
3,20,0.4961,0.1137,0.5326
