task,iter,attack_acc,cv_acc,auc
1,11,0.52,0.124,0.5548
1,12,0.524,0.12,0.5388
1,13,0.536,0.17,0.5623
1,14,0.522,0.116,0.5442
1,15,0.46,0.112,0.4398
1,16,0.53,0.124,0.546
1,17,0.532,0.11,0.5317
1,18,0.534,0.104,0.5633
1,19,0.536,0.104,0.5272
1,20,0.484,0.102,0.4688
1,11,0.494,0.144,0.5356
1,12,0.564,0.106,0.6095
1,13,0.482,0.128,0.4957
1,14,0.434,0.094,0.4333
1,15,0.564,0.102,0.5862
1,16,0.524,0.092,0.5603
1,17,0.5,0.12,0.5116
1,18,0.54,0.108,0.5629
1,19,0.564,0.102,0.5803
1,20,0.538,0.092,0.5517
