task,iter,attack_acc,cv_acc,auc
2,11,0.7969,0.7167,0.9219
2,12,0.75,0.75,0.9541
2,13,0.7812,0.8333,0.9336
2,14,0.7812,0.8333,0.8633
2,15,0.7656,0.8333,0.9375
2,16,0.8125,0.7667,0.9453
2,17,0.75,0.6833,0.8857
2,18,0.75,0.75,0.9355
2,19,0.6875,0.6,0.7266
2,20,0.5781,0.6333,0.624
2,11,0.7969,0.75,0.9082
2,12,0.7969,0.7667,0.9678
2,13,0.7188,0.8167,0.959
2,14,0.7344,0.7833,0.9121
2,15,0.7969,0.85,0.8877
2,16,0.8594,0.7833,0.9814
2,17,0.7969,0.7667,0.9756
2,18,0.7656,0.75,0.8408
2,19,0.7812,0.7667,0.832
2,20,0.7031,0.5833,0.7744
