task,iter,attack_acc,cv_acc,auc
2,11,0.7656,0.6784,0.8603
2,12,0.7461,0.7059,0.8125
2,13,0.7383,0.6431,0.8476
2,14,0.7227,0.6039,0.7774
2,15,0.6328,0.5373,0.7037
2,16,0.7617,0.698,0.7997
2,17,0.7148,0.6392,0.785
2,18,0.6836,0.7059,0.7554
2,19,0.5664,0.098,0.5622
2,20,0.5508,0.1059,0.5693
2,11,0.6719,0.2235,0.7726
2,12,0.6367,0.2745,0.6717
2,13,0.6289,0.2863,0.6826
2,14,0.6992,0.6157,0.7648
2,15,0.6719,0.2941,0.7178
2,16,0.6406,0.2902,0.6983
2,17,0.6953,0.4118,0.7341
2,18,0.6953,0.2353,0.7389
2,19,0.5352,0.1529,0.5299
2,20,0.4844,0.0824,0.431
