task,iter,attack_acc,cv_acc,auc
4,11,0.6797,0.4157,0.681
4,12,0.6484,0.7216,0.6888
4,13,0.7148,0.6627,0.7654
4,14,0.7461,0.6392,0.7763
4,15,0.6797,0.3843,0.7072
4,16,0.707,0.498,0.7329
4,17,0.5156,0.0902,0.5763
4,18,0.4492,0.0824,0.4056
4,19,0.4805,0.0706,0.4883
4,20,0.5156,0.0941,0.4632
4,11,0.6914,0.4314,0.7558
4,12,0.6797,0.2745,0.7637
4,13,0.75,0.4863,0.787
4,14,0.7031,0.7176,0.7061
4,15,0.7266,0.6706,0.7484
4,16,0.7188,0.6,0.7403
4,17,0.457,0.102,0.4282
4,18,0.5547,0.0824,0.5306
4,19,0.5234,0.1333,0.5659
4,20,0.5469,0.0824,0.5905
