task,iter,attack_acc,cv_acc,auc
7,11,0.75,0.3333,0.8672
7,12,0.7031,0.3167,0.8184
7,13,0.7188,0.6833,0.8721
7,14,0.7969,0.4833,0.8579
7,15,0.6562,0.6833,0.7295
7,16,0.7656,0.5833,0.814
7,17,0.5781,0.2167,0.6406
7,18,0.6719,0.5167,0.6758
7,19,0.6406,0.4667,0.6572
7,20,0.6406,0.5667,0.7061
7,11,0.6875,0.85,0.8159
7,12,0.7188,0.75,0.8604
7,13,0.7812,0.7333,0.8984
7,14,0.7031,0.5667,0.6816
7,15,0.75,0.5333,0.7666
7,16,0.6875,0.5833,0.7041
7,17,0.6562,0.5333,0.6924
7,18,0.7188,0.45,0.7241
7,19,0.7031,0.4,0.7598
7,20,0.6875,0.65,0.7441
