task,iter,attack_acc,cv_acc,auc
5,11,0.552,0.148,0.5601
5,12,0.56,0.154,0.582
5,13,0.552,0.132,0.6072
5,14,0.542,0.098,0.5911
5,15,0.55,0.192,0.581
5,16,0.52,0.118,0.5252
5,17,0.516,0.154,0.5398
5,18,0.504,0.154,0.5215
5,19,0.524,0.11,0.5385
5,20,0.532,0.11,0.5302
5,11,0.556,0.12,0.5705
5,12,0.554,0.108,0.5617
5,13,0.522,0.104,0.5383
5,14,0.508,0.124,0.4923
5,15,0.592,0.104,0.591
5,16,0.532,0.126,0.51
5,17,0.508,0.102,0.5186
5,18,0.522,0.084,0.5304
5,19,0.422,0.106,0.4091
5,20,0.588,0.104,0.571
