task,iter,attack_acc,cv_acc,auc
6,11,0.6602,0.2667,0.6935
6,12,0.543,0.2275,0.575
6,13,0.5859,0.1647,0.6145
6,14,0.5977,0.1804,0.6372
6,15,0.5469,0.1137,0.5764
6,16,0.582,0.1216,0.6147
6,17,0.5117,0.0824,0.5075
6,18,0.5312,0.1137,0.5826
6,19,0.5664,0.102,0.5871
6,20,0.5391,0.1137,0.5597
6,11,0.5898,0.2471,0.663
6,12,0.6523,0.4,0.7462
6,13,0.5117,0.0784,0.5013
6,14,0.5078,0.098,0.5363
6,15,0.5117,0.1569,0.5251
6,16,0.5469,0.1137,0.5891
6,17,0.5508,0.1255,0.5757
6,18,0.457,0.1098,0.496
6,19,0.5625,0.1373,0.5686
6,20,0.5977,0.1882,0.6122
