task,iter,attack_acc,cv_acc,auc
4,11,0.7656,0.7333,0.957
4,12,0.8125,0.7667,0.9414
4,13,0.7031,0.7167,0.9121
4,14,0.7812,0.7167,0.9531
4,15,0.7812,0.7667,0.9111
4,16,0.7812,0.7333,0.8862
4,17,0.7656,0.75,0.8037
4,18,0.7656,0.6333,0.7388
4,19,0.7812,0.6167,0.7852
4,20,0.625,0.6833,0.7266
4,11,0.7656,0.8167,0.8584
4,12,0.7656,0.7333,0.8984
4,13,0.7812,0.7333,0.9639
4,14,0.7656,0.7,0.8564
4,15,0.75,0.6833,0.9116
4,16,0.7188,0.7333,0.877
4,17,0.7344,0.3333,0.8677
4,18,0.7188,0.6333,0.8506
4,19,0.5469,0.3833,0.7163
4,20,0.5156,0.6,0.5767
