task,iter,attack_acc,cv_acc,auc
1,1,0.6016,0.2275,0.6179
1,2,0.6836,0.2784,0.7025
1,3,0.7578,0.7216,0.8817
1,4,0.7539,0.298,0.8397
1,5,0.6992,0.2863,0.7924
1,6,0.7383,0.7451,0.8303
1,7,0.7148,0.2706,0.8062
1,8,0.7188,0.7412,0.8293
1,9,0.6992,0.7137,0.8816
1,10,0.7578,0.2824,0.8615
1,1,0.625,0.2275,0.6957
1,2,0.7188,0.702,0.7825
1,3,0.7383,0.7255,0.8312
1,4,0.7539,0.6863,0.8545
1,5,0.7656,0.7412,0.8294
1,6,0.7188,0.7529,0.8004
1,7,0.7539,0.6941,0.839
1,8,0.7188,0.6667,0.8258
1,9,0.7188,0.7255,0.8309
1,10,0.75,0.7176,0.8301
