task,iter,attack_acc,cv_acc,auc
8,11,0.7031,0.3167,0.8389
8,12,0.7188,0.7667,0.8574
8,13,0.6562,0.25,0.6938
8,14,0.6406,0.4833,0.7227
8,15,0.6094,0.65,0.6328
8,16,0.7031,0.6,0.7417
8,17,0.6719,0.2333,0.7134
8,18,0.6406,0.2833,0.6128
8,19,0.5938,0.1667,0.5781
8,20,0.5938,0.2667,0.6504
8,11,0.75,0.7333,0.752
8,12,0.7656,0.75,0.8848
8,13,0.75,0.7167,0.7646
8,14,0.75,0.65,0.8213
8,15,0.7031,0.5333,0.7402
8,16,0.7188,0.7167,0.7471
8,17,0.6406,0.7,0.7471
8,18,0.6094,0.65,0.5654
8,19,0.6719,0.6667,0.6919
8,20,0.7188,0.5333,0.7314
