task,iter,attack_acc,cv_acc,auc
8,11,0.6562,0.251,0.6783
8,12,0.6133,0.2314,0.6606
8,13,0.5,0.1176,0.5046
8,14,0.5234,0.102,0.5301
8,15,0.4883,0.1176,0.4771
8,16,0.4922,0.0784,0.4851
8,17,0.4766,0.1098,0.4549
8,18,0.543,0.1059,0.5437
8,19,0.457,0.1137,0.469
8,20,0.5,0.0902,0.4836
8,11,0.7148,0.6627,0.7364
8,12,0.7539,0.749,0.812
8,13,0.7148,0.4706,0.7771
