task,iter,attack_acc,cv_acc,auc
3,11,0.6875,0.7667,0.9033
3,12,0.7344,0.7333,0.9116
3,13,0.7656,0.7,0.8594
3,14,0.6719,0.7833,0.916
3,15,0.7656,0.3333,0.8896
3,16,0.75,0.7833,0.9482
3,17,0.6406,0.7833,0.8555
3,18,0.7812,0.7167,0.791
3,19,0.7031,0.6667,0.7529
3,20,0.75,0.6667,0.7686
3,11,0.7344,0.75,0.9092
3,12,0.75,0.2833,0.9062
3,13,0.6875,0.75,0.9478
3,14,0.7344,0.7667,0.8755
3,15,0.7656,0.7333,0.9277
3,16,0.7656,0.7667,0.9648
3,17,0.7656,0.8,0.9365
3,18,0.6562,0.7,0.8481
3,19,0.7344,0.7,0.7979
3,20,0.7031,0.7,0.7388
