task,iter,attack_acc,cv_acc,auc
7,11,0.7031,0.25,0.9219
7,12,0.7188,0.3,0.9199
7,13,0.6406,0.3333,0.8428
7,14,0.7188,0.65,0.7393
7,15,0.6719,0.2,0.7153
7,16,0.7344,0.5667,0.7681
7,17,0.7812,0.4667,0.8008
7,18,0.6719,0.7667,0.7114
7,19,0.5938,0.6667,0.6025
7,20,0.5312,0.55,0.5674
7,11,0.7188,0.3,0.9277
7,12,0.7188,0.3,0.8604
7,13,0.6875,0.2667,0.8945
7,14,0.7344,0.2833,0.8809
7,15,0.7188,0.2833,0.8428
7,16,0.5938,0.2833,0.5967
7,17,0.6406,0.2167,0.6519
7,18,0.6094,0.1333,0.6514
7,19,0.5938,0.1,0.5825
7,20,0.5469,0.25,0.5645
