task,iter,attack_acc,cv_acc,auc
5,11,0.6836,0.6314,0.7789
5,12,0.6836,0.4157,0.7633
5,13,0.668,0.2471,0.7241
5,14,0.6875,0.5098,0.751
5,15,0.6758,0.6078,0.7246
5,16,0.5664,0.1725,0.5906
5,17,0.5703,0.1686,0.5586
5,18,0.5117,0.0902,0.5402
5,19,0.5391,0.1059,0.5701
5,20,0.5117,0.1216,0.5523
5,11,0.6875,0.6706,0.775
5,12,0.6445,0.4039,0.7244
5,13,0.6562,0.2588,0.7353
5,14,0.6875,0.2667,0.7699
5,15,0.6289,0.2706,0.6529
5,16,0.5898,0.149,0.6137
5,17,0.6094,0.1608,0.6494
5,18,0.5898,0.0941,0.5992
5,19,0.5312,0.098,0.533
5,20,0.4492,0.0824,0.4686
