task,iter,attack_acc,cv_acc,auc
4,11,0.522,0.158,0.5562
4,12,0.59,0.138,0.6305
4,13,0.588,0.108,0.598
4,14,0.556,0.154,0.5608
4,15,0.566,0.132,0.5918
4,16,0.53,0.162,0.5723
4,17,0.524,0.126,0.5608
4,18,0.556,0.096,0.5586
4,19,0.534,0.106,0.5247
4,20,0.526,0.102,0.543
4,11,0.496,0.1,0.5073
4,12,0.514,0.096,0.54
4,13,0.496,0.088,0.4766
4,14,0.488,0.102,0.489
4,15,0.494,0.106,0.4994
4,16,0.494,0.102,0.474
4,17,0.466,0.104,0.4922
4,18,0.512,0.094,0.5197
4,19,0.526,0.1,0.521
4,20,0.5,0.102,0.4917
