task,iter,attack_acc,cv_acc,auc
6,11,0.75,0.25,0.8232
6,12,0.6875,0.3167,0.7607
6,13,0.7188,0.3,0.9043
6,14,0.8125,0.7333,0.875
6,15,0.6719,0.5333,0.6348
6,16,0.6562,0.3833,0.7207
6,17,0.6719,0.5,0.7251
6,18,0.6719,0.3667,0.6826
6,19,0.625,0.5833,0.6406
6,20,0.6562,0.3667,0.6685
6,11,0.75,0.7833,0.8804
6,12,0.7812,0.3333,0.8896
6,13,0.75,0.7333,0.8164
6,14,0.7812,0.7,0.9199
6,15,0.6875,0.6833,0.7563
6,16,0.6875,0.65,0.6953
6,17,0.625,0.6667,0.7104
6,18,0.7031,0.6333,0.7754
6,19,0.625,0.7667,0.6826
6,20,0.6719,0.6333,0.7178
