task,iter,attack_acc,cv_acc,auc
1,1,0.588,0.192,0.6726
1,2,0.53,0.162,0.5416
1,3,0.546,0.128,0.5403
1,4,0.536,0.11,0.5511
1,5,0.518,0.086,0.5263
1,6,0.512,0.108,0.5091
1,7,0.536,0.114,0.532
1,8,0.518,0.08,0.5588
1,9,0.502,0.176,0.4998
1,10,0.516,0.094,0.5475
1,1,0.604,0.202,0.671
1,2,0.534,0.118,0.523
1,3,0.486,0.118,0.4932
1,4,0.52,0.12,0.5511
1,5,0.532,0.096,0.5295
1,6,0.534,0.098,0.5349
1,7,0.518,0.102,0.4943
1,8,0.494,0.106,0.4924
1,9,0.496,0.142,0.4863
1,10,0.514,0.112,0.5239
