task,iter,attack_acc,cv_acc,auc
5,11,0.6875,0.2588,0.7467
5,12,0.6172,0.2078,0.6385
5,13,0.5234,0.1765,0.5919
5,14,0.6211,0.251,0.6457
5,15,0.625,0.6353,0.7156
5,16,0.5078,0.098,0.4878
5,17,0.457,0.0784,0.4609
5,18,0.5273,0.1098,0.541
5,19,0.5234,0.1255,0.5342
5,20,0.4727,0.1137,0.4493
5,11,0.625,0.5765,0.6469
5,12,0.6641,0.6549,0.7569
5,13,0.5312,0.0902,0.5385
5,14,0.4805,0.1412,0.5185
5,15,0.582,0.0941,0.601
5,16,0.5234,0.1059,0.5376
5,17,0.4922,0.1059,0.5207
5,18,0.5195,0.098,0.5414
5,19,0.5195,0.1373,0.5294
5,20,0.5078,0.1255,0.5309
