task,iter,attack_acc,cv_acc,auc
8,11,0.584,0.202,0.5881
8,12,0.554,0.192,0.5627
8,13,0.486,0.118,0.4703
8,14,0.462,0.104,0.4796
8,15,0.506,0.102,0.5106
8,16,0.52,0.1,0.5354
8,17,0.524,0.104,0.5269
8,18,0.53,0.094,0.5383
8,19,0.546,0.104,0.5701
8,20,0.518,0.108,0.5451
8,11,0.576,0.178,0.5646
8,12,0.576,0.174,0.6245
8,13,0.472,0.1,0.4697
8,14,0.51,0.088,0.5087
8,15,0.484,0.122,0.4704
8,16,0.498,0.104,0.4883
8,17,0.516,0.11,0.5182
8,18,0.522,0.114,0.5192
8,19,0.526,0.09,0.5244
8,20,0.522,0.098,0.5014
