task,iter,attack_acc,cv_acc,auc
1,1,0.625,0.2,0.6216
1,2,0.5625,0.7167,0.6221
1,3,0.7656,0.3333,0.8594
1,4,0.75,0.7833,0.7861
1,5,0.7344,0.7167,0.9697
1,6,0.6875,0.7167,0.873
1,7,0.75,0.3167,0.8545
1,8,0.7031,0.7,0.8037
1,9,0.7188,0.2333,0.9375
1,10,0.6406,0.7667,0.8013
1,1,0.5781,0.1,0.6807
1,2,0.7344,0.2333,0.7578
1,3,0.7656,0.2833,0.7832
1,4,0.7969,0.2833,0.8545
1,5,0.75,0.7667,0.8359
1,6,0.8125,0.75,0.8838
1,7,0.7188,0.3,0.749
1,8,0.7969,0.7667,0.8936
1,9,0.7188,0.7167,0.8545
1,10,0.75,0.8,0.8457
