task,iter,attack_acc,cv_acc,auc
2,11,0.6523,0.251,0.6164
2,12,0.6836,0.2667,0.7353
2,13,0.6602,0.2706,0.6739
2,14,0.6797,0.2314,0.6929
2,15,0.6289,0.2667,0.6327
2,16,0.7266,0.5725,0.7191
2,17,0.6641,0.5765,0.6978
2,18,0.6758,0.5333,0.6672
2,19,0.4844,0.102,0.3997
2,20,0.4922,0.1059,0.5453
2,11,0.6406,0.2471,0.6718
2,12,0.6758,0.2588,0.7496
2,13,0.6914,0.2588,0.6894
2,14,0.6992,0.6667,0.7362
2,15,0.7383,0.5529,0.7775
2,16,0.7266,0.6196,0.7816
2,17,0.6914,0.498,0.7196
2,18,0.7344,0.5882,0.7721
2,19,0.5742,0.1922,0.5955
2,20,0.4766,0.1176,0.4841
