task,iter,attack_acc,cv_acc,auc
6,11,0.532,0.114,0.5391
6,12,0.564,0.112,0.5928
6,13,0.532,0.13,0.5484
6,14,0.508,0.162,0.5345
6,15,0.518,0.09,0.545
6,16,0.538,0.108,0.5382
6,17,0.546,0.096,0.5451
6,18,0.488,0.116,0.4928
6,19,0.49,0.108,0.5157
6,20,0.514,0.096,0.5335
6,11,0.59,0.1,0.6352
6,12,0.57,0.128,0.6279
6,13,0.538,0.126,0.5497
6,14,0.542,0.094,0.5941
6,15,0.514,0.152,0.548
6,16,0.442,0.092,0.4079
6,17,0.528,0.106,0.5433
6,18,0.498,0.112,0.518
6,19,0.474,0.1,0.499
6,20,0.466,0.138,0.5011
