task,iter,attack_acc,cv_acc,auc
3,11,0.7031,0.7667,0.8457
3,12,0.8125,0.7833,0.8799
3,13,0.7812,0.3167,0.9785
3,14,0.75,0.75,0.8438
3,15,0.7656,0.6833,0.8086
3,16,0.6562,0.7833,0.8623
3,17,0.8281,0.7333,0.9297
3,18,0.8906,0.8,0.9199
3,19,0.7812,0.7833,0.8086
3,20,0.7812,0.6333,0.7871
3,11,0.6562,0.7833,0.8184
3,12,0.7031,0.7333,0.7803
3,13,0.7812,0.25,0.8545
3,14,0.7656,0.3167,0.9092
3,15,0.7812,0.3167,0.8916
3,16,0.8438,0.7333,0.9019
3,17,0.7344,0.6833,0.8926
3,18,0.7969,0.7833,0.8501
3,19,0.7812,0.7,0.7827
3,20,0.7344,0.5667,0.7397
