task,iter,attack_acc,cv_acc,auc
1,11,0.516,0.1,0.5406
1,12,0.528,0.126,0.5329
1,13,0.51,0.122,0.5286
1,14,0.514,0.096,0.5212
1,15,0.5,0.132,0.4828
1,16,0.496,0.098,0.4856
1,17,0.528,0.09,0.5302
1,18,0.532,0.102,0.5255
1,19,0.488,0.1,0.4906
1,20,0.486,0.106,0.4859
1,11,0.518,0.104,0.5122
1,12,0.532,0.11,0.5345
1,13,0.504,0.158,0.4988
1,14,0.542,0.106,0.5443
1,15,0.518,0.13,0.5397
1,16,0.538,0.112,0.5651
1,17,0.55,0.106,0.5769
1,18,0.514,0.112,0.5319
1,19,0.516,0.086,0.53
1,20,0.486,0.108,0.5034
