task,iter,attack_acc,cv_acc,auc
5,11,0.528,0.102,0.5443
5,12,0.502,0.118,0.5096
5,13,0.5,0.1,0.516
5,14,0.532,0.108,0.5423
5,15,0.542,0.094,0.5439
5,16,0.512,0.106,0.5166
5,17,0.478,0.094,0.5018
5,18,0.518,0.126,0.4981
5,19,0.488,0.1,0.4843
5,20,0.484,0.088,0.5061
5,11,0.542,0.168,0.5785
5,12,0.554,0.11,0.5687
5,13,0.548,0.148,0.5568
5,14,0.562,0.138,0.5855
5,15,0.54,0.13,0.5398
5,16,0.54,0.098,0.557
5,17,0.548,0.11,0.5439
5,18,0.464,0.094,0.447
5,19,0.492,0.104,0.4837
5,20,0.532,0.102,0.5458
