task,iter,attack_acc,cv_acc,auc
1,11,0.6875,0.6275,0.7563
1,12,0.6406,0.2078,0.6784
1,13,0.5664,0.2314,0.5805
1,14,0.5859,0.2549,0.6395
1,15,0.6719,0.4078,0.7345
1,16,0.6719,0.2706,0.7201
1,17,0.6016,0.2667,0.6377
1,18,0.6875,0.2627,0.7424
1,19,0.6367,0.3765,0.669
1,20,0.6172,0.149,0.6167
1,11,0.6094,0.251,0.6919
1,12,0.6914,0.2275,0.768
1,13,0.4609,0.1098,0.477
1,14,0.4883,0.098,0.493
1,15,0.4727,0.098,0.4651
1,16,0.543,0.1216,0.563
1,17,0.4609,0.098,0.3841
1,18,0.4727,0.0824,0.4364
1,19,0.582,0.0863,0.6036
1,20,0.5391,0.1059,0.5553
