task,iter,attack_acc,cv_acc,auc
1,11,0.48,0.1,0.4739
1,12,0.514,0.112,0.5513
1,13,0.528,0.11,0.5331
1,14,0.468,0.106,0.446
1,15,0.492,0.088,0.4673
1,16,0.55,0.08,0.5785
1,17,0.56,0.09,0.5853
1,18,0.526,0.12,0.5453
1,19,0.518,0.106,0.5282
1,20,0.518,0.1,0.5125
1,11,0.516,0.106,0.5368
1,12,0.496,0.112,0.5188
1,13,0.488,0.108,0.4705
1,14,0.47,0.114,0.4769
1,15,0.528,0.096,0.5125
1,16,0.526,0.112,0.5293
1,17,0.476,0.104,0.4518
1,18,0.452,0.096,0.4462
1,19,0.504,0.102,0.518
1,20,0.484,0.088,0.4914
