task,iter,attack_acc,cv_acc,auc
1,1,0.6445,0.2196,0.7239
1,2,0.7578,0.7059,0.8116
1,3,0.7422,0.6941,0.84
1,4,0.7617,0.7412,0.8406
1,5,0.7344,0.7333,0.8106
1,6,0.7461,0.7608,0.8181
1,7,0.7305,0.6627,0.7807
1,8,0.707,0.6941,0.7671
1,9,0.7266,0.7255,0.8105
1,10,0.7266,0.6863,0.8185
1,1,0.6484,0.5412,0.6607
1,2,0.7773,0.7569,0.8641
1,1,0.6133,0.1882,0.6739
1,2,0.668,0.2745,0.7134
1,3,0.6953,0.2627,0.7577
1,4,0.7109,0.298,0.8022
1,5,0.7188,0.302,0.801
1,6,0.7109,0.2863,0.7581
1,7,0.7266,0.2588,0.7963
1,8,0.6953,0.6941,0.7339
1,9,0.6719,0.4627,0.7055
1,10,0.6602,0.7176,0.8047
