task,iter,attack_acc,cv_acc,auc
8,11,0.6328,0.2824,0.6414
8,12,0.5898,0.2196,0.6521
8,13,0.4727,0.1137,0.4673
8,14,0.5078,0.1176,0.4977
8,15,0.4883,0.0863,0.4862
8,16,0.543,0.0863,0.5552
8,17,0.4883,0.1137,0.478
8,18,0.4805,0.149,0.4979
8,19,0.5195,0.1255,0.5429
8,20,0.5117,0.1882,0.4897
8,11,0.6406,0.2627,0.689
8,12,0.6406,0.2706,0.6788
8,13,0.5,0.1059,0.4947
8,14,0.4961,0.098,0.4948
8,15,0.5312,0.0824,0.5176
8,16,0.5273,0.0941,0.5641
8,17,0.4492,0.1216,0.4429
8,18,0.4766,0.1137,0.4246
8,19,0.5156,0.1294,0.5284
8,20,0.5,0.0902,0.5073
