task,iter,attack_acc,cv_acc,auc
3,11,0.532,0.114,0.538
3,12,0.532,0.116,0.5296
3,13,0.526,0.132,0.5516
3,14,0.482,0.108,0.4746
3,15,0.49,0.096,0.5003
3,16,0.538,0.098,0.5382
3,17,0.504,0.096,0.5013
3,18,0.514,0.1,0.5318
3,19,0.486,0.114,0.4754
3,20,0.494,0.094,0.4834
3,11,0.542,0.098,0.5699
3,12,0.516,0.114,0.5139
3,13,0.524,0.108,0.5358
3,14,0.5,0.118,0.4967
3,15,0.48,0.078,0.4782
3,16,0.5,0.12,0.5224
3,17,0.542,0.15,0.5317
3,18,0.51,0.096,0.5106
3,19,0.478,0.138,0.4521
3,20,0.524,0.112,0.5154
