task,iter,attack_acc,cv_acc,auc
5,11,0.7188,0.75,0.9297
5,12,0.8125,0.7333,0.9023
5,13,0.8125,0.8,0.9219
5,14,0.8125,0.2833,0.9648
5,15,0.6719,0.7667,0.8604
5,16,0.6562,0.5333,0.7236
5,17,0.6719,0.6167,0.6777
5,18,0.6406,0.4833,0.7168
5,19,0.625,0.5667,0.6504
5,20,0.6094,0.2667,0.6494
5,11,0.7031,0.2333,0.8535
5,12,0.6719,0.7333,0.8613
5,13,0.6719,0.7,0.9019
5,14,0.6875,0.7333,0.811
5,15,0.7656,0.2667,0.8857
5,16,0.625,0.3,0.7949
5,17,0.6094,0.7,0.7764
5,18,0.625,0.2333,0.7466
5,19,0.6094,0.1333,0.6719
5,20,0.4531,0.0333,0.3799
