task,iter,attack_acc,cv_acc,auc
7,11,0.504,0.086,0.5055
7,12,0.52,0.132,0.5383
7,13,0.512,0.102,0.5092
7,14,0.492,0.116,0.501
7,15,0.498,0.094,0.5191
7,16,0.498,0.114,0.4961
7,17,0.492,0.09,0.4747
7,18,0.508,0.096,0.4852
7,19,0.5,0.098,0.4847
7,20,0.516,0.084,0.4992
7,11,0.544,0.114,0.5798
7,12,0.54,0.094,0.5418
7,13,0.556,0.118,0.5608
7,14,0.528,0.108,0.5322
7,15,0.534,0.1,0.543
7,16,0.55,0.102,0.5832
7,17,0.53,0.092,0.5355
7,18,0.55,0.12,0.5443
7,19,0.506,0.096,0.5178
7,20,0.524,0.102,0.5468
