task,iter,attack_acc,cv_acc,auc
8,11,0.556,0.138,0.554
8,12,0.532,0.146,0.5536
8,13,0.476,0.09,0.4688
8,14,0.52,0.106,0.5067
8,15,0.488,0.108,0.4859
8,16,0.496,0.12,0.4762
8,17,0.464,0.112,0.4606
8,18,0.484,0.102,0.4847
8,19,0.494,0.086,0.479
8,20,0.466,0.094,0.4842
8,11,0.556,0.214,0.5545
8,12,0.622,0.188,0.6396
8,13,0.52,0.102,0.4987
8,14,0.528,0.086,0.5509
8,15,0.532,0.1,0.535
8,16,0.49,0.086,0.4805
8,17,0.504,0.102,0.4736
8,18,0.484,0.104,0.4849
8,19,0.516,0.114,0.5322
8,20,0.5,0.092,0.5108
