task,iter,attack_acc,cv_acc,auc
3,11,0.6445,0.2784,0.7104
3,12,0.6172,0.2745,0.6658
3,13,0.668,0.2392,0.7133
3,14,0.6523,0.2745,0.6689
3,15,0.6836,0.6157,0.714
3,16,0.582,0.1647,0.6139
3,17,0.6289,0.2118,0.688
3,18,0.5391,0.1647,0.5694
3,19,0.5156,0.1373,0.5188
3,20,0.5312,0.1608,0.5201
3,11,0.5938,0.2275,0.6856
3,12,0.5781,0.2275,0.6895
3,13,0.4492,0.1529,0.4603
3,14,0.4922,0.098,0.4849
3,15,0.4609,0.0941,0.4521
3,16,0.5469,0.1725,0.5849
3,17,0.4531,0.0824,0.409
3,18,0.4648,0.102,0.4425
3,19,0.4883,0.1216,0.4429
3,20,0.543,0.102,0.5502
