task,iter,attack_acc,cv_acc,auc
7,11,0.574,0.116,0.5931
7,12,0.544,0.106,0.5924
7,13,0.504,0.098,0.4966
7,14,0.502,0.09,0.5018
7,15,0.508,0.114,0.511
7,16,0.526,0.114,0.5162
7,17,0.522,0.106,0.4991
7,18,0.488,0.098,0.5013
7,19,0.524,0.096,0.5306
7,20,0.538,0.098,0.5442
7,11,0.554,0.11,0.5547
7,12,0.528,0.088,0.5585
7,13,0.532,0.098,0.525
7,14,0.484,0.098,0.4968
7,15,0.48,0.122,0.4771
7,16,0.526,0.09,0.499
7,17,0.48,0.096,0.4889
7,18,0.526,0.1,0.509
7,19,0.476,0.114,0.457
7,20,0.532,0.108,0.5299
