task,iter,attack_acc,cv_acc,auc
7,11,0.6992,0.2627,0.7776
7,12,0.5898,0.1961,0.6619
7,13,0.5508,0.2,0.5472
7,14,0.5742,0.1451,0.566
7,15,0.4609,0.1059,0.4171
7,16,0.5312,0.1216,0.5641
7,17,0.5547,0.1059,0.5425
7,18,0.4922,0.149,0.5057
7,19,0.5312,0.1176,0.5798
7,20,0.5391,0.098,0.5814
7,11,0.6484,0.2235,0.6476
7,12,0.6602,0.1804,0.7164
7,13,0.5234,0.098,0.5224
7,14,0.5547,0.1098,0.574
7,15,0.4805,0.1294,0.4633
7,16,0.4805,0.098,0.4765
7,17,0.5312,0.102,0.5313
7,18,0.4922,0.1059,0.53
7,19,0.4883,0.102,0.4484
7,20,0.4727,0.1725,0.4519
