task,iter,attack_acc,cv_acc,auc
7,11,0.652,0.204,0.6708
7,12,0.586,0.202,0.623
7,13,0.622,0.224,0.6529
7,14,0.504,0.098,0.5118
7,15,0.502,0.1,0.4965
7,16,0.472,0.092,0.4829
7,17,0.47,0.1,0.4761
7,18,0.464,0.094,0.4821
7,19,0.466,0.11,0.4476
7,20,0.532,0.102,0.5252
7,11,0.538,0.13,0.5506
7,12,0.548,0.124,0.553
7,13,0.534,0.126,0.5549
7,14,0.514,0.094,0.5263
7,15,0.502,0.098,0.5055
7,16,0.536,0.104,0.5421
7,17,0.51,0.124,0.5024
7,18,0.434,0.094,0.4187
7,19,0.496,0.096,0.4858
7,20,0.496,0.092,0.4884
