task,iter,attack_acc,cv_acc,auc
4,11,0.6953,0.6314,0.7247
4,12,0.6758,0.7137,0.7075
4,13,0.7031,0.6784,0.7413
4,14,0.6953,0.6196,0.7024
4,15,0.6562,0.5922,0.6975
4,16,0.6641,0.2627,0.6952
4,17,0.5547,0.1137,0.5416
4,18,0.5391,0.0941,0.5735
4,19,0.5273,0.1059,0.5662
4,20,0.457,0.0824,0.3714
4,11,0.6523,0.2471,0.7038
4,12,0.6172,0.2157,0.6907
4,13,0.6211,0.2157,0.6364
4,14,0.6719,0.5686,0.717
4,15,0.6055,0.2118,0.6713
4,16,0.6562,0.2706,0.7049
4,17,0.4492,0.1137,0.4463
4,18,0.5312,0.1098,0.5525
4,19,0.4766,0.0941,0.4927
4,20,0.5195,0.098,0.4988
