task,iter,attack_acc,cv_acc,auc
2,11,0.546,0.102,0.5672
2,12,0.54,0.098,0.5542
2,13,0.512,0.114,0.4873
2,14,0.526,0.098,0.5689
2,15,0.51,0.112,0.5141
2,16,0.508,0.112,0.5235
2,17,0.508,0.088,0.5145
2,18,0.498,0.13,0.5076
2,19,0.486,0.102,0.4692
2,20,0.512,0.114,0.5188
2,11,0.502,0.098,0.5264
2,12,0.528,0.112,0.5689
2,13,0.496,0.096,0.503
2,14,0.508,0.086,0.5063
2,15,0.532,0.136,0.5216
2,16,0.524,0.078,0.5533
2,17,0.548,0.112,0.5512
2,18,0.532,0.1,0.5648
2,19,0.488,0.09,0.4757
2,20,0.486,0.104,0.4964
