task,iter,attack_acc,cv_acc,auc
2,2,0.6445,0.2941,0.7366
2,3,0.7695,0.7137,0.8649
2,4,0.7539,0.7412,0.8987
2,5,0.7578,0.7686,0.8696
2,6,0.7695,0.7529,0.8524
2,7,0.8008,0.7765,0.9072
2,8,0.8203,0.749,0.9155
2,9,0.8125,0.7843,0.893
2,10,0.8125,0.7725,0.9021
2,2,0.6719,0.2157,0.7269
2,3,0.7109,0.2627,0.7659
2,4,0.7188,0.2863,0.8014
2,5,0.7188,0.702,0.7809
2,6,0.7422,0.2706,0.8093
2,7,0.7031,0.2902,0.8189
2,8,0.7266,0.302,0.787
2,9,0.7148,0.6941,0.7912
2,10,0.707,0.2627,0.7594
2,2,0.6875,0.2627,0.6866
2,3,0.7188,0.7098,0.7591
2,4,0.6641,0.2941,0.7784
2,5,0.7305,0.2902,0.8598
2,6,0.7344,0.2863,0.801
