task,iter,attack_acc,cv_acc,auc
3,11,0.578,0.144,0.5858
3,12,0.53,0.092,0.5638
3,13,0.482,0.096,0.4606
3,14,0.498,0.102,0.5228
3,15,0.514,0.122,0.5608
3,16,0.534,0.126,0.5641
3,17,0.512,0.104,0.5391
3,18,0.546,0.1,0.5644
3,19,0.508,0.102,0.5263
3,20,0.488,0.094,0.4807
3,11,0.522,0.138,0.5386
3,12,0.52,0.142,0.5431
3,13,0.552,0.11,0.5826
3,14,0.544,0.114,0.5662
3,15,0.538,0.166,0.5773
3,16,0.546,0.148,0.5672
3,17,0.542,0.12,0.5518
3,18,0.508,0.102,0.4955
3,19,0.516,0.1,0.4961
3,20,0.49,0.116,0.5066
