task,iter,attack_acc,cv_acc,auc
6,11,0.532,0.1,0.5651
6,12,0.442,0.116,0.4109
6,13,0.482,0.104,0.4709
6,14,0.502,0.102,0.5026
6,15,0.514,0.094,0.4998
6,16,0.504,0.098,0.4736
6,17,0.494,0.108,0.4886
6,18,0.516,0.084,0.5136
6,19,0.528,0.11,0.5365
6,20,0.472,0.104,0.466
6,11,0.52,0.164,0.5433
6,12,0.544,0.166,0.5667
6,13,0.54,0.158,0.5388
6,14,0.59,0.12,0.6219
6,15,0.552,0.11,0.5835
6,16,0.526,0.134,0.5413
6,17,0.55,0.076,0.545
6,18,0.516,0.114,0.528
6,19,0.53,0.104,0.5446
6,20,0.486,0.124,0.5116
