task,iter,attack_acc,cv_acc,auc
1,11,0.7812,0.8833,0.9473
1,12,0.9219,0.7833,0.9717
1,13,0.7969,0.7167,0.9453
1,14,0.8125,0.7667,0.9297
1,15,0.75,0.8,0.9385
1,16,0.8125,0.8167,0.9336
1,17,0.7969,0.4833,0.9209
1,18,0.7969,0.8167,0.9062
1,19,0.7188,0.75,0.8701
1,20,0.8438,0.7667,0.8447
1,11,0.8281,0.8167,1.0
1,12,0.8281,0.85,0.9712
1,13,0.7656,0.8,0.9834
1,14,0.7656,0.8167,0.8613
1,15,0.8125,0.7333,0.9707
1,16,0.7969,0.7833,0.9209
1,17,0.8594,0.85,0.9375
1,18,0.7656,0.8167,0.834
1,19,0.7344,0.85,0.834
1,20,0.7344,0.8333,0.9277
