task,iter,attack_acc,cv_acc,auc
5,11,0.546,0.15,0.5613
5,12,0.506,0.152,0.528
5,13,0.548,0.146,0.5693
5,14,0.576,0.092,0.629
5,15,0.512,0.172,0.5616
5,16,0.518,0.104,0.5097
5,17,0.49,0.09,0.5245
5,18,0.516,0.11,0.5224
5,19,0.506,0.116,0.51
5,20,0.522,0.098,0.525
5,11,0.526,0.158,0.5417
5,12,0.534,0.106,0.5703
5,13,0.52,0.104,0.5509
5,14,0.51,0.136,0.5203
5,15,0.528,0.116,0.519
5,16,0.478,0.096,0.4566
5,17,0.486,0.102,0.4902
5,18,0.498,0.1,0.5048
5,19,0.466,0.104,0.4575
5,20,0.478,0.13,0.4747
