task,iter,attack_acc,cv_acc,auc
7,11,0.552,0.114,0.5388
7,12,0.534,0.122,0.562
7,13,0.54,0.128,0.5353
7,14,0.492,0.106,0.4799
7,15,0.498,0.09,0.4956
7,16,0.52,0.112,0.5426
7,17,0.506,0.09,0.4839
7,18,0.462,0.13,0.4681
7,19,0.488,0.098,0.5012
7,20,0.486,0.096,0.488
7,11,0.566,0.202,0.595
7,12,0.586,0.178,0.619
7,13,0.606,0.174,0.6413
7,14,0.556,0.094,0.5801
7,15,0.46,0.082,0.4714
7,16,0.524,0.094,0.526
7,17,0.512,0.116,0.5338
7,18,0.546,0.124,0.5604
7,19,0.492,0.106,0.4803
7,20,0.486,0.112,0.4927
