task,iter,attack_acc,cv_acc,auc
8,11,0.546,0.178,0.5889
8,12,0.594,0.156,0.6397
8,13,0.45,0.1,0.4307
8,14,0.526,0.104,0.5208
8,15,0.552,0.096,0.5546
8,16,0.504,0.108,0.5212
8,17,0.476,0.094,0.4883
8,18,0.48,0.086,0.4917
8,19,0.498,0.09,0.5094
8,20,0.478,0.084,0.4591
8,11,0.594,0.196,0.6438
8,12,0.564,0.12,0.612
8,13,0.528,0.1,0.5344
8,14,0.534,0.092,0.505
8,15,0.472,0.104,0.4539
8,16,0.514,0.088,0.5232
8,17,0.506,0.122,0.51
8,18,0.5,0.092,0.5023
8,19,0.502,0.104,0.4979
8,20,0.524,0.106,0.52
