task,iter,attack_acc,cv_acc,auc
3,11,0.514,0.126,0.5573
3,12,0.508,0.126,0.5236
3,13,0.512,0.098,0.5277
3,14,0.522,0.094,0.5405
3,15,0.558,0.112,0.5387
3,16,0.502,0.086,0.5479
3,17,0.51,0.09,0.5208
3,18,0.516,0.116,0.517
3,19,0.482,0.104,0.4799
3,20,0.508,0.102,0.4933
3,11,0.546,0.162,0.5498
3,12,0.524,0.1,0.5381
3,13,0.518,0.1,0.5212
3,14,0.534,0.116,0.5373
3,15,0.506,0.116,0.5147
3,16,0.496,0.108,0.5066
3,17,0.484,0.11,0.4668
3,18,0.526,0.116,0.5376
3,19,0.514,0.102,0.5091
3,20,0.536,0.12,0.5166
